nofinesset;nofinessej;rs;rslongue;complrs;numvoie;compvoie;typvoie;voie;lieuditbp;departement;libdepartement;cp;commune;telephone;telecopie;dateouv;dateautor;datemaj;wgs84;lat;lng
750014862;750014854;SELARL PHARMACIE DU FBG SAINT HONORE;;PHARMACIE DU FBG SAINT HONORE;122;;RUE;DU FAUBOURG ST HONORE;;75;PARIS;75008;PARIS;145628893;145621647;2010-08-15;1943-07-23;2011-07-21;48.8764709, 2.3018856;48.8764709;2.3018856
750014565;750014557;PHARMACIE DE BERRI;;;48;;RUE;DE BERRI;;75;PARIS;75008;PARIS;145637067;153751253;2006-08-07;1943-06-10;2008-09-25;48.87470109, 2.30817851;48.87470109;2.30817851
750014912;750014904;PHARM DU RD PT DES CHAMPS ELYSEES;;;49;B;AVENUE;FRANKLIN D ROOSEVELT;;75;PARIS;75008;PARIS;143592371;145612228;2007-08-01;1943-05-24;2007-10-09;48.87037799, 2.31003374;48.87037799;2.3100337399999997
750016941;750016933;SELARL PHARMA G;;PHARMA G;10;;RUE;VIGNON;;75;PARIS;75009;PARIS;147420459;147427513;2011-08-01;1943-06-24;2011-10-24;48.8706562, 2.326197;48.8706562;2.326197
750016347;750016321;PHARMACIE DES MARTYRS;;;4;;RUE;DES MARTYRS;;75;PARIS;75009;PARIS;148782726;;1998-12-21;1943-09-23;2009-07-03;48.876971, 2.3393591;48.876971;2.3393591
750016495;750016487;SELAS PHARMACIE BENDAYAN;;PHARMACIE BENDAYAN;61;;RUE;DE MAUBEUGE;ANGLE 2 RUE CONDORCET;75;PARIS;75009;PARIS;148787311;;2012-12-17;1943-09-03;2013-01-17;48.8760706, 2.3402927;48.8760706;2.3402927
750016693;750016685;PHARM CANCALON;;;26;;RUE;DE ROCHECHOUART;;75;PARIS;75009;PARIS;148782397;142805908;1993-11-10;1942-10-29;2009-01-21;48.8781833, 2.3450111;48.8781833;2.3450111
750017881;750017873;PHARMACIE CENTRALE DU NORD;;;132;;RUE;LA FAYETTE;;75;PARIS;75010;PARIS;147700614;147700297;2006-07-17;1942-10-29;2007-07-06;48.8767766, 2.3473863;48.8767766;2.3473863
750018111;750018103;PHARM SEING;;;29;;BOULEVARD;DE MAGENTA;;75;PARIS;75010;PARIS;142082030;142082030;1995-11-22;1943-06-22;2009-07-03;48.8712118, 2.3603663;48.8712118;2.3603663
750017360;750017352;PHARMACIE POSTIC;;;57;;RUE;DU FAUBOURG DU TEMPLE;;75;PARIS;75010;PARIS;140400620;;1997-03-06;1942-11-11;2009-07-03;48.8697955, 2.3701292;48.8697955;2.3701292
750017410;750017402;PHARM DU FAUBOURG;;;123;;RUE;DU FBG DU TEMPLE;;75;PARIS;75010;PARIS;142086375;142386007;2000-06-14;1942-10-29;2009-07-03;48.87141064, 2.37512827;48.871410640000015;2.3751282700000003
750019390;750019382;PHARMACIE FOLIE MERICOURT;;;39;;RUE;OBERKAMPF;;75;PARIS;75011;PARIS;147004239;147000609;2003-10-20;1943-05-24;2008-12-03;48.8643489, 2.3713118;48.8643489;2.3713118
750019440;750019432;PHARMACIE MEZAHI;;;122;;RUE;OBERKAMPF;;75;PARIS;75011;PARIS;143573311;143571997;1992-09-11;1943-05-19;2010-08-25;48.8661552, 2.379764;48.8661552;2.379764
750019325;750019317;PHARM TRAMONI;;;62;;RUE;DE MONTREUIL;;75;PARIS;75011;PARIS;143734429;143739795;1952-09-26;1943-05-05;2008-12-03;48.8504827, 2.39025861;48.8504827;2.3902586100000005
750022022;750022014;PHARMACIE DES QUATRE TEMPS;;PHARMACIE DES QUATRE TEMPS;35;;RUE;DE REUILLY;;75;PARIS;75012;PARIS;143430511;143430203;2004-07-01;1943-05-15;2009-01-19;48.8471383, 2.3870983;48.8471383;2.3870983
750021917;750021891;PHARMACIE SIRINELLI;;M JEAN LOUP SIRINELLI;21;;RUE;DE PICPUS;;75;PARIS;75012;PARIS;143432112;143432112;2002-08-29;1943-05-15;2009-02-10;48.8462841, 2.3945569;48.8462841;2.3945569
750021800;750021792;PHARMACIE FABRE D EGLANTINE;;;20;;PL;DE LA NATION;;75;PARIS;75012;PARIS;143433854;143434824;1989-01-26;1943-11-05;2009-02-10;48.8472463, 2.3959684;48.8472463;2.3959684
750022105;750022097;PHARMACIE PICPUS;;;45;;AVENUE;DE SAINT MANDE;;75;PARIS;75012;PARIS;143432781;143433704;2008-05-01;1942-11-11;2010-08-25;48.8451044, 2.4028494;48.8451044;2.4028494
750023202;750023194;SELARL PHARMACIE JEANNE D ARC;;PHARMACIE JEANNE D ARC;58;;RUE;JEANNE D ARC;;75;PARIS;75013;PARIS;145837847;153790812;2011-07-01;1942-11-12;2011-07-25;48.83148, 2.366267;48.83148;2.366267
750022287;750022261;PHARMACIE PELISSIER;;;3;;RUE;DE L AMIRAL MOUCHEZ;;75;PARIS;75013;PARIS;145891005;145805345;2004-08-23;1943-11-04;2009-07-10;48.825932, 2.34178;48.825932;2.34178
750022667;750022642;PHARMACIE TRAN H N;;;52;;RUE;DES CINQ DIAMANTS;;75;PARIS;75013;PARIS;145807637;145809398;1991-02-28;1943-10-20;2009-07-10;48.82791527, 2.34968014;48.82791527;2.34968014
750023533;750023525;SELARL PHARMACIE CENTRALE;;;75;;RUE;DE TOLBIAC;;75;PARIS;75013;PARIS;144241000;144240191;2012-10-31;1942-11-10;2012-11-19;48.8268904, 2.365097;48.8268904;2.365097
750022717;750022691;PHARMACIE OLYMPIADES MASSENA;;;22;;RUE;DU DISQUE;CENTRE COMMERCIAL OSLO;75;PARIS;75013;PARIS;145842886;145842009;2009-02-16;1974-08-13;2010-08-25;48.8244247, 2.3655088;48.8244247;2.3655088
750023582;750023574;PHARMACIE DE LA BUTTE AUX CAILLES;;;229;;RUE;DE TOLBIAC;;75;PARIS;75013;PARIS;145897456;145893523;2003-03-14;1969-04-14;2010-08-25;48.8270993, 2.3671009;48.8270993;2.3671009
750023335;750023327;SELARL PHARMACIE MATHIAU LAM;;PHARMACIE MATHIAU LAM;3;;RUE;JEANNE D'ARC;;75;PARIS;75013;PARIS;145834022;145864415;2011-06-30;1994-06-29;2011-07-21;48.8287599, 2.3695644;48.8287599;2.3695644
750024150;750024143;PHARMACIE SPINAZZOLA;;;66;;RUE;DIDOT;;75;PARIS;75014;PARIS;145422229;145429694;1978-01-26;1942-11-08;2010-08-25;48.8293307, 2.3173531;48.8293307;2.3173531
750023723;750023715;SELARL PHARMACIE DIDOT ALESIA;;PHARMACIE DIDOT ALESIA;169;;RUE;D ALESIA;;75;PARIS;75014;PARIS;145423493;145426363;2011-04-11;1942-12-30;2011-07-22;48.83083887, 2.31827013;48.83083887000001;2.3182701300000006
750024366;750024341;PHARMACIE COHEN BETTAN;;;57;;RUE;DE L OUEST;;75;PARIS;75014;PARIS;143353595;143353595;2002-04-08;1942-12-31;2009-07-10;48.83612115, 2.31935576;48.836121150000004;2.31935576
750024523;750024515;PHARMACIE DE L EUROPE;;;178;;AVENUE;DU MAINE;;75;PARIS;75014;PARIS;145405191;145453291;1990-11-05;1943-05-21;2009-02-27;48.8405744, 2.3214791;48.8405744;2.3214791
750023954;750023947;PHARMACIE BERNARD ZERBIB;;;128;;BOULEVARD;BRUNE;;75;PARIS;75014;PARIS;145397372;145397372;1967-07-03;1945-05-10;2009-07-10;48.8234265, 2.323761;48.8234265;2.323761
750023871;750023863;PHARMACIE MALBE SEAN;;PHARMACIE MALBE SEAN;8;;BOULEVARD;BRUNE;;75;PARIS;75014;PARIS;145399346;;2013-04-01;1942-10-10;2013-04-04;48.8233594, 2.3252877;48.8233594;2.3252877
750024333;750024325;LA GRANDE PHARMACIE D ALESIA;;;79;;AVENUE;DU GENERAL LECLERC;;75;PARIS;75014;PARIS;143271323;143278000;2005-10-01;1943-05-24;2009-07-10;48.8276607, 2.3270505;48.8276607;2.3270505
750024085;750024077;SELARL PHARMACIE EDGAR QUINET;;PHARMACIE EDGAR QUINET;43;;RUE;DELAMBRE;54 BD EDGAR QUINET;75;PARIS;75014;PARIS;143207012;143202920;2010-07-01;1942-11-10;2011-07-21;48.8415816, 2.3272382;48.8415816;2.3272382
750024572;750024564;M OMAR AADRI;;PHARMACIE AADRI;11;;RUE;MARGUERIN;;75;PARIS;75014;PARIS;145407284;145394212;2012-07-30;1943-05-05;2012-09-12;48.8277549, 2.3289438;48.8277549;2.3289438
750024036;750024010;GRANDE PHARMACIE DAGUERRE;;;33;;RUE;DAGUERRE;;75;PARIS;75014;PARIS;143223811;143217476;1982-03-11;1942-11-08;2009-07-10;48.8336173, 2.3305362;48.8336173;2.3305362
750024820;750024812;PHARMACIE RASPAIL 14;;;282;;BOULEVARD;RASPAIL;;75;PARIS;75014;PARIS;143350271;;1996-12-13;1942-11-10;2009-07-10;48.836965, 2.3314466;48.836965;2.3314466
750024101;750024093;EURL PLANCHE;;PHARMACIE PL DENFERT ROCHEREAU;97;;AVENUE;DENFERT ROCHEREAU;;75;PARIS;75014;PARIS;143542971;144070600;2011-04-01;1942-12-04;2011-07-22;48.8347648, 2.3327271;48.8347648;2.3327271
750023806;750023780;PHARM DE LA CITÉ;PHARMACIE DE LA CITÉ;;70;;RUE;DE L AMIRAL MOUCHEZ;;75;PARIS;75014;PARIS;145887844;145887844;2000-11-21;1942-12-21;2009-07-10;48.8216275, 2.34241873;48.8216275;2.34241873
750025405;750025397;PHARM DE L HELIPORT;;;36;;RUE;COLONEL PIERRE AVIA;6 ALLEE DES FRERES VOISIN;75;PARIS;75015;PARIS;145583745;145547392;2002-10-03;1988-04-14;2012-06-06;48.82857803, 2.27358876;48.82857803000001;2.27358876
750025850;750025843;PHARMACIE RIVE GAUCHE;;MME ANNE CLAIRE SAYAH;4;;AVENUE;EMILE ZOLA;;75;PARIS;75015;PARIS;145780145;145795043;2008-03-01;1945-06-21;2009-02-26;48.8460554, 2.277998;48.8460554;2.277998
750025256;750025231;PHARMACIE DES CEVENNES;;;47;;RUE;BALARD;;75;PARIS;75015;PARIS;145579751;145579751;2009-01-12;1943-08-14;2009-01-21;48.8382468, 2.2784429;48.8382468;2.2784429
750026973;750026965;PHARM BAKOUCHE;;;122;;RUE;SAINT CHARLES;;75;PARIS;75015;PARIS;145775462;145771860;1986-11-26;1943-09-11;2009-07-13;48.8421499, 2.2816381;48.8421499;2.2816381
750026585;750026577;PHARM DU GRAND PAVOIS;;;360;;RUE;LECOURBE;;75;PARIS;75015;PARIS;145547983;145571980;1993-08-31;1943-05-11;2009-01-13;48.836462, 2.2820354;48.836462;2.2820354
750028433;750028425;PHARMACIE MIRABEAU;;;65;;RUE;DES CEVENNES;;75;PARIS;75015;PARIS;140600940;140600907;1992-05-29;1942-11-24;2009-07-07;48.8416647, 2.282331;48.8416647;2.282331
750027336;750027310;PHARM SVOBODA;;;47;;BOULEVARD;VICTOR;;75;PARIS;75015;PARIS;145328015;140439303;1994-12-30;1943-04-28;2009-07-07;48.8337645, 2.286261;48.8337645;2.286261
750026072;750026064;PHARMACIE BOUCICAUT;;;45;;AVENUE;FÉLIX FAURE;;75;PARIS;75015;PARIS;145584589;145584933;2004-07-01;1942-12-04;2008-12-01;48.8407954, 2.2874031;48.8407954;2.2874031
750025637;750025611;PHARMACIE CONVENTION CROIX NIVERT;;;131;;RUE;DE LA CONVENTION;;75;PARIS;75015;PARIS;148425380;156230767;1997-09-22;1943-04-28;2009-07-10;48.8403433, 2.2899758;48.8403433;2.2899758
750025587;750025561;SELARL PHIE CONVENTION ST CHARLES;;PHARMACIE CONVENTION ST CHARLES;55;B;RUE;DE LA CONVENTION;;75;PARIS;75015;PARIS;145775794;140599403;2011-06-10;1942-11-11;2011-07-25;48.8399936, 2.2903367;48.8399936;2.2903367
750026056;750026031;PHARMACIE DU MIDI;;;38;;AVENUE;FELIX FAURE;;75;PARIS;75015;PARIS;145541548;145541773;2008-07-01;1942-11-08;2008-09-30;48.8421252, 2.2904369;48.8421252;2.2904369
750026221;750026213;PHARMACIE 77 PICQUET GRENELLE;;;77;;BOULEVARD;DE GRENELLE;;75;PARIS;75015;PARIS;147341145;145670231;2004-09-15;1942-11-11;2009-05-05;48.8503399, 2.2945661;48.8503399;2.2945661
750025900;750025892;PHARMACIE EMILE ZOLA;;;139;;AVENUE;EMILE ZOLA;;75;PARIS;75015;PARIS;145753175;145751845;2007-11-01;1943-04-28;2009-02-26;48.8470731, 2.2946151;48.8470731;2.2946151
750026254;750026247;PHARMACIE METRO MOTTE PICQUET;;PHARMACIE METRO MOTTE PICQUET;138;;BOULEVARD;DE GRENELLE;;75;PARIS;75015;PARIS;145753335;145779788;2013-09-01;1942-11-08;2013-10-07;48.8486842, 2.2984758;48.8486842;2.2984758
750026452;750026445;SELARL PHARMACIE DE LA MAIRIE;;;133;;RUE;LECOURBE;;75;PARIS;75015;PARIS;148284810;;2011-12-30;1942-10-29;2012-04-04;48.8419978, 2.3008;48.8419978;2.3008
750026171;750026163;GRANDE PHARMACIE DE GRENELLE;;;39;;BOULEVARD;DE GRENELLE;;75;PARIS;75015;PARIS;145795319;145795344;1967-09-28;1943-08-16;2009-05-05;48.8477577, 2.3017177;48.8477577;2.3017177
750026122;750026114;PHARM DE LA PLACE;;;9;;PL;DU GENERAL BEURET;;75;PARIS;75015;PARIS;148285611;148289989;2005-04-01;1943-06-22;2005-11-03;48.8416806, 2.3030556;48.8416806;2.3030556
750025272;750025264;PHARMACIE DU PARC;;;61;;RUE;BRANCION;;75;PARIS;75015;PARIS;145324262;145324262;2007-06-01;1942-12-03;2010-08-25;48.8327117, 2.303572;48.8327117;2.303572
750026882;750026874;PHARMACIE D ALLERAY;;;48;;RUE;PAUL BARRUEL;;75;PARIS;75015;PARIS;148285810;148285810;2005-01-03;1943-07-23;2009-07-13;48.8370128, 2.3060462;48.8370128;2.3060462
750025983;750025975;PHARMACIE SEVRES LECOURBE;;;1;;RUE;ERNEST RENAN;;75;PARIS;75015;PARIS;145671883;145671886;2003-10-01;1942-12-07;2007-07-03;48.8443635, 2.3093451;48.8443635;2.3093451
750026007;750025991;PHARM BISMUTH SOLAL;;;6;;PL;FALGUIERE;;75;PARIS;75015;PARIS;145324757;145328265;2006-04-01;1942-12-12;2009-07-10;48.8361124, 2.3100104;48.8361124;2.3100104
750026866;750026841;GRANDE PHARMACIE CENTRALE PASTEUR;;;59;;BOULEVARD;PASTEUR;;75;PARIS;75015;PARIS;143207819;;1993-01-04;1942-11-11;2008-10-27;48.8415201, 2.3143315;48.8415201;2.3143315
750028870;750028862;PHARMACIE MARCEAU;;;7;;AVENUE;MARCEAU;;75;PARIS;75016;PARIS;147208352;147203190;2007-08-27;1943-06-30;2010-08-25;48.865853, 2.299436;48.865853;2.299436
750028037;750028011;SELARL PHARMACIE DE LA PTE DE ST CLOUD;;PHARMACIE RIAHI;122;;BOULEVARD;MURAT;;75;PARIS;75016;PARIS;142887416;145251115;2012-08-01;1942-11-17;2012-10-04;48.8372922, 2.2582987;48.8372922;2.2582987
750027633;750027625;SELARL PHARMACIE MICHEL ANGE;;PHARMACIE MICHEL ANGE;84;;RUE;BOILEAU;;75;PARIS;75016;PARIS;142884902;;2013-01-01;1942-11-13;2013-01-18;48.8435682, 2.2632197;48.8435682;2.2632197
750027856;750027831;PHARMACIE CENTRALE D AUTEUIL;;PHARMACIE CENTRALE D AUTEUIL;122;;RUE;LA FONTAINE;;75;PARIS;75016;PARIS;142880486;146477421;2006-07-01;1942-11-17;2009-09-17;48.848251, 2.264435;48.848251;2.264435
750027823;750027815;FONTAINE PHARMA;;;35;;RUE;DE LA FONTAINE;;75;PARIS;75016;PARIS;145270162;140503045;2008-01-21;1943-04-28;2009-03-23;48.85063, 2.271287;48.85063;2.271287
750029266;750029241;PHARM SEGUIN;;;141;;RUE;DE LA TOUR;;75;PARIS;75016;PARIS;145043233;145040172;2005-09-19;1944-01-17;2010-08-25;48.8637349, 2.272673;48.8637349;2.272673
750027971;750027963;PHARMACIE DE LA MUETTE;;;11;;CHS;MUETTE;;75;PARIS;75016;PARIS;142882169;145250792;1993-02-01;1942-11-17;2009-02-12;48.85819003, 2.27410689;48.85819003;2.27410689
750028102;750028094;PHARMACIE FRANKLIN;;;8;;RUE;DE PASSY;;75;PARIS;75016;PARIS;142882232;142882232;1999-04-08;1942-11-20;2009-04-29;48.8584527, 2.2836828;48.8584527;2.2836828
750028854;750028847;PHARMACIE MALAKOFF;;;138;;AVENUE;DE MALAKOFF;;75;PARIS;75016;PARIS;140671928;145005964;2006-01-16;1942-11-17;2009-05-15;48.87516797, 2.28392914;48.87516797;2.28392914
750029035;750029027;PHARMACIE GALLIERA;;MME BONNIOT HOLLEVILLE;8;;AVENUE;PIERRE 1ER SERBIE;;75;PARIS;75016;PARIS;147208528;147206335;2005-05-09;1943-11-06;2010-08-25;48.8656231, 2.29563899;48.8656231;2.29563899
750031304;750031296;PHARMACIE DU PALAIS DES CONGRES;;MLLE CATHERINE PON;2;;PL;DE LA PORTE MAILLOT;;75;PARIS;75017;PARIS;140682433;145742862;2000-02-14;1942-12-21;2009-07-13;48.8776419, 2.2811115;48.8776419;2.2811115
750030652;750030645;PHARMACIE DU CASTOR;;;63;;RUE;LAUGIER;;75;PARIS;75017;PARIS;145723695;145723188;2007-06-01;1942-11-24;2007-10-10;48.8836922, 2.2927877;48.8836922;2.2927877
750031122;750031114;PHARMACIE CENTRALE PEREIRE;;;134;;BOULEVARD;PEREIRE;;75;PARIS;75017;PARIS;142670433;142670433;1992-09-23;1942-12-04;2008-10-27;48.8840953, 2.2951517;48.8840953;2.2951517
750031007;750030991;SELARL GRANDE PHARMACIE NIEL;;GRANDE PHARMACIE NIEL;16;;AVENUE;NIEL;;75;PARIS;75017;PARIS;147636660;147636660;2010-09-15;1943-05-28;2011-07-21;48.8800843, 2.2951544;48.8800843;2.2951544
750031254;750031247;PHARMACIE DU MARCHE PONCELET;;;22;;RUE;PONCELET;;75;PARIS;75017;PARIS;142275033;147669824;2008-09-29;1942-11-24;2010-08-25;48.8793021, 2.2976052;48.8793021;2.2976052
750029654;750029647;PHARM MAAREK;;;134;;BOULEVARD;BERTHIER;;75;PARIS;75017;PARIS;143805861;143801290;1987-05-25;1942-11-24;2009-01-26;48.8879946, 2.2991453;48.8879946;2.2991453
750031833;750031825;PHARM EMRIK;;;89;;AVENUE;DE WAGRAM;;75;PARIS;75017;PARIS;147632869;147664878;1991-02-13;1942-11-24;2009-07-13;48.8812999, 2.3002811;48.8812999;2.3002811
750030934;750030926;PHARMACIE DE LA PLACE PEREIRE;;;7;;PL;DU MAL JUIN;;75;PARIS;75017;PARIS;147633439;147636510;1984-12-28;1942-11-24;2009-07-13;48.887372, 2.304723;48.887372;2.304723
750030520;750030512;PHARMACIE JOUFFROY;;;25;;RUE;JOUFFROY D ABBANS;;75;PARIS;75017;PARIS;147635680;147635405;2004-05-05;1943-05-28;2008-12-16;48.8861534, 2.31016517;48.88615339999999;2.3101651699999994
750031650;750031643;PHARM BOUHNIK;;;120;;RUE;DE TOCQUEVILLE;;75;PARIS;75017;PARIS;147637436;140540894;1981-03-31;1942-11-24;2009-10-29;48.8819527, 2.3145428;48.8819527;2.3145428
750029704;750029696;PHARMACIE BESSIERES;;;36;;BOULEVARD;BESSIERES;;75;PARIS;75017;PARIS;146279731;146279017;1995-11-14;1942-11-24;2009-02-13;48.8961511, 2.3184356;48.8961511;2.3184356
750029720;750029712;SELARL PHARMACIE GILBERT;;PHARMACIE CHERIE;11;;RUE;BRIDAINE;40 RUE DES BATIGNOLLES;75;PARIS;75017;PARIS;144709899;144709551;2012-12-15;1943-04-28;2013-01-17;48.8857538, 2.3200728;48.8857538;2.3200728
750030173;750030165;PHARM SAINT LUC;;;56;;RUE;DES DAMES;;75;PARIS;75017;PARIS;143876957;144400255;2006-01-09;1942-11-24;2009-07-13;48.8837621, 2.3210004;48.8837621;2.3210004
750030256;750030231;PHARMACIE BLOCH;;;41;;RUE;DAUTANCOURT;;75;PARIS;75017;PARIS;146273260;146273260;1985-05-31;1943-06-30;2009-07-13;48.8907024, 2.3257698;48.8907024;2.3257698
750033706;750033680;PHARMACIE DU BLD NEY;;;1;;AVENUE;PTE DE MONTMARTRE;;75;PARIS;75018;PARIS;142231787;;2009-08-01;1943-05-21;2009-08-19;48.898037, 2.336978;48.898037;2.336978
750034001;750033995;PHARMACIE MARCHAL GEORGEL;;;90;;AVENUE;DE SAINT OUEN;;75;PARIS;75018;PARIS;146274725;146279990;2007-06-01;1942-12-31;2007-10-10;48.8954321, 2.3282892;48.8954321;2.3282892
750032583;750032575;PHARMACIE LES GRANDES CARRIERES;;;83;;RUE;DAMREMONT;;75;PARIS;75018;PARIS;146066744;142552240;1989-10-30;1943-07-05;2009-01-12;48.8871389, 2.3325701;48.8871389;2.3325701
750024986;750024960;PHARMACIE RENOIR;;;203;;RUE;RAYMOND LOSSERAND;;75;PARIS;75014;PARIS;145432211;145432211;1992-01-13;1943-05-05;2009-07-10;48.8314253, 2.3133237;48.8314253;2.3133237
750023632;750023624;PHARMACIE DE L OUEST;;;115;;RUE;DE L OUEST;;75;PARIS;75014;PARIS;145428908;145420653;2005-05-16;1982-12-30;2006-10-25;48.8336392, 2.31485597;48.8336392;2.3148559700000004
750024754;750024747;SELAS PHARMACIE JEAN MOULIN;;PHARMACIE JEAN MOULIN;3;;PL;LA PORTE DE CHATILLON;;75;PARIS;75014;PARIS;145396874;145396874;2011-01-24;1943-03-28;2011-07-22;48.82439004, 2.31957959;48.82439004;2.3195795899999996
750024234;750024226;PHARM PATSCHKOWSKI;;;25;;RUE;FRIANT;;75;PARIS;75014;PARIS;145397184;;1990-03-29;1943-05-11;2009-07-10;48.8245095, 2.32371;48.8245095;2.32371
750025082;750025074;PHARM PRINCIPALE DE PORTE D ORLEANS;;;4;;PL;DU 25 AOUT 1944;134 BD BRUNE;75;PARIS;75014;PARIS;145422775;145455736;2007-04-01;1944-09-19;2010-01-07;48.8226982, 2.3249203;48.8226982;2.3249203
750024416;750024390;PHARMACIE JOURDAN;;;109;;BOULEVARD;JOURDAN;;75;PARIS;75014;PARIS;145407853;145400804;1990-10-30;1943-05-11;2009-07-10;48.8225613, 2.3276812;48.8225613;2.3276812
750025017;750024994;PHARMACIE DU PARC;;;4;;AVENUE;REILLE;;75;PARIS;75014;PARIS;145894851;145894851;1999-04-20;1942-10-30;2007-07-16;48.8261777, 2.3412817;48.8261777;2.3412817
750025223;750025215;PHARMACIE BALARD;;;3;;PL;BALARD;;75;PARIS;75015;PARIS;145548271;145548271;1989-12-29;1942-12-07;2009-07-10;48.8369098, 2.2790555;48.8369098;2.2790555
750026957;750026940;GRANDE PHARMACIE DU 15EME;;;119;;RUE;SAINT CHARLES;;75;PARIS;75015;PARIS;145778846;145770603;2008-04-01;1942-11-08;2009-07-13;48.8421499, 2.2816381;48.8421499;2.2816381
750025371;750025363;PHARMACIE CHARLES MICHELS;;;9;;PL;CHARLES MICHELS;;75;PARIS;75015;PARIS;145780151;145795313;2013-09-30;1943-09-03;2013-10-07;48.84665519, 2.28578657;48.84665519000001;2.2857865700000004
750026155;750026130;PHARMACIE DE BIR HAKEIM;;;6;;BOULEVARD;DE GRENELLE;;75;PARIS;75015;PARIS;145773330;145780809;2004-08-01;1943-04-29;2009-07-10;48.8537653, 2.289141;48.8537653;2.289141
750027435;750027427;PHARMACIE SYLVIE LEIBA;;;19;;RUE;DE LA CROIX NIVERT;;75;PARIS;75015;PARIS;147347048;;1985-05-29;1942-10-30;2009-07-07;48.8409168, 2.2911033;48.8409168;2.2911033
750026700;750026692;PHARMACIE OCEANE;;;19;;RUE;DE LOURMEL;;75;PARIS;75015;PARIS;145788618;145753101;2006-09-04;1942-11-11;2009-07-10;48.8493651, 2.291455;48.8493651;2.291455
750026635;750026627;PHARMACIE GAUMERAIS;;;59;;BOULEVARD;LEFEBVRE;;75;PARIS;75015;PARIS;148280227;148281556;2010-01-02;1946-07-01;2010-08-25;48.8310694, 2.2925616;48.8310694;2.2925616
750025884;750025876;PHARMACIE DARMON;;;134;;AVENUE;EMILE ZOLA;;75;PARIS;75015;PARIS;145793070;145793070;1994-03-11;1942-12-21;2009-02-23;48.8468053, 2.2928852;48.8468053;2.2928852
750025736;750025710;PHARMACIE DE LA POSTE;;;60;;RUE;DE LA CROIX NIVERT;;75;PARIS;75015;PARIS;148283114;148280356;1997-05-29;1943-05-05;2007-08-13;48.8451633, 2.2974608;48.8451633;2.2974608
